Year,Month,Day,Precip (in),Max (F),Min (F),Dew (F),Solrad (L)
2000,1,1,0.000,57.657,39.108,32.609,254.097
2000,1,2,0.000,49.133,27.517,23.983,254.097
2000,1,3,0.000,45.426,22.636,18.561,311.481
2000,1,4,0.000,52.196,25.463,8.004,341.498
2000,1,5,0.000,62.300,28.716,6.733,340.716
2000,1,6,0.000,55.792,23.564,11.682,343.016
2000,1,7,0.000,51.531,25.993,15.779,343.331
2000,1,8,0.000,57.442,31.825,18.521,343.778
2000,1,9,0.000,57.937,26.259,12.344,349.596
2000,1,10,0.000,63.522,31.723,3.067,347.185
2000,1,11,0.000,66.606,35.522,11.740,352.058
2000,1,12,0.000,68.392,38.970,16.226,350.930
2000,1,13,0.000,66.633,37.018,18.629,357.365
2000,1,14,0.000,62.859,36.978,17.604,348.104
2000,1,15,0.000,70.069,39.167,19.834,297.738
2000,1,16,0.000,72.021,43.984,18.616,328.115
2000,1,17,0.000,72.558,48.606,20.245,352.324
2000,1,18,0.000,71.641,47.273,22.430,329.237
2000,1,19,0.000,72.468,45.218,23.601,333.081
2000,1,20,0.000,70.292,47.383,24.964,330.593
2000,1,21,0.000,67.152,42.554,31.872,326.308
2000,1,22,0.000,62.339,43.796,35.960,195.012
2000,1,23,0.000,64.910,35.183,28.090,321.279
2000,1,24,0.000,67.884,44.340,22.192,256.673
2000,1,25,0.000,72.465,43.263,27.000,351.343
2000,1,26,0.000,70.259,43.197,32.386,262.579
2000,1,27,0.000,60.561,33.168,25.278,375.685
2000,1,28,0.000,58.599,31.421,17.247,390.460
2000,1,29,0.000,60.804,35.730,11.681,391.939
2000,1,30,0.000,61.074,33.724,17.213,387.711
2000,1,31,0.000,58.991,36.767,22.915,361.359
2000,2,1,0.000,52.975,32.102,25.475,369.567
2000,2,2,0.000,58.315,32.880,19.714,393.503
2000,2,3,0.000,66.643,29.187,15.879,399.845
2000,2,4,0.000,68.731,38.604,12.795,399.910
2000,2,5,0.000,67.210,31.648,21.375,398.369
2000,2,6,0.000,66.947,38.240,21.115,396.224
2000,2,7,0.000,70.714,39.239,18.428,409.096
2000,2,8,0.000,68.699,36.227,17.428,366.260
2000,2,9,0.000,72.182,44.182,23.791,370.796
2000,2,10,0.000,69.584,37.937,23.787,409.171
2000,2,11,0.000,66.539,34.020,25.152,412.684
2000,2,12,0.000,61.863,34.437,23.640,339.722
2000,2,13,0.000,62.428,36.406,28.611,364.681
2000,2,14,0.000,68.765,37.564,29.212,384.417
2000,2,15,0.000,73.070,39.694,31.630,408.480
2000,2,16,0.000,73.926,45.152,20.809,414.760
2000,2,17,0.000,69.488,45.442,27.953,388.945
2000,2,18,0.000,62.377,33.634,23.518,406.149
2000,2,19,0.000,68.121,39.096,17.087,429.346
2000,2,20,0.000,70.390,43.886,12.775,407.883
2000,2,21,0.120,67.829,40.547,34.643,377.760
2000,2,22,0.030,62.466,40.196,37.692,379.156
2000,2,23,0.000,65.785,36.823,28.557,459.638
2000,2,24,0.000,63.940,44.158,30.394,305.663
2000,2,25,0.000,51.988,28.935,25.011,435.645
2000,2,26,0.000,61.981,28.370,21.269,477.185
2000,2,27,0.000,73.643,37.537,17.850,480.528
2000,2,28,0.000,72.094,41.811,22.456,473.922
2000,2,29,0.000,63.771,36.133,20.452,467.407
2000,3,1,0.000,63.739,36.831,20.762,461.189
2000,3,2,0.000,65.568,33.484,23.195,488.901
2000,3,3,0.000,71.347,39.231,23.120,495.447
2000,3,4,0.000,69.143,38.990,25.509,503.085
2000,3,5,0.000,64.379,40.850,30.139,457.740
2000,3,6,0.255,56.672,39.952,31.030,269.799
2000,3,7,0.080,48.977,34.059,32.779,300.557
2000,3,8,0.000,60.313,29.992,24.153,499.474
2000,3,9,0.000,63.459,31.364,27.584,522.494
2000,3,10,0.000,65.212,33.868,31.418,523.596
2000,3,11,0.000,69.802,35.084,29.311,544.458
2000,3,12,0.000,74.479,41.943,18.896,552.375
2000,3,13,0.000,73.592,45.719,29.139,510.101
2000,3,14,0.000,72.460,40.440,30.640,523.924
2000,3,15,0.000,72.339,42.364,29.490,550.926
2000,3,16,0.000,71.611,41.587,26.927,539.912
2000,3,17,0.000,71.378,42.110,30.464,529.267
2000,3,18,0.000,70.826,41.119,22.297,563.002
2000,3,19,0.000,71.599,40.240,16.598,574.424
2000,3,20,0.000,71.310,44.697,23.484,515.173
2000,3,21,0.030,53.605,30.220,15.949,504.848
2000,3,22,0.000,50.707,33.943,15.644,478.375
2000,3,23,0.000,64.473,33.073,18.357,522.300
2000,3,24,0.000,72.662,41.752,23.381,574.940
2000,3,25,0.000,73.013,42.911,22.244,593.610
2000,3,26,0.000,74.473,43.116,20.818,594.496
2000,3,27,0.000,75.255,44.708,19.607,565.067
2000,3,28,0.000,71.133,46.019,39.209,438.724
2000,3,29,0.000,70.632,41.307,33.974,558.046
2000,3,30,0.000,71.079,43.083,25.546,604.245
2000,3,31,0.000,65.156,44.269,22.333,577.908
2000,4,1,0.000,58.648,36.992,16.484,517.373
2000,4,2,0.000,61.794,37.399,29.530,573.412
2000,4,3,0.000,72.334,37.972,23.687,638.171
2000,4,4,0.000,80.549,48.239,25.260,654.946
2000,4,5,0.000,80.998,48.271,22.989,659.789
2000,4,6,0.000,77.987,46.859,26.839,656.299
2000,4,7,0.000,80.161,45.269,24.065,667.029
2000,4,8,0.000,78.922,52.329,23.092,642.499
2000,4,9,0.000,80.314,51.682,29.189,588.634
2000,4,10,0.000,78.105,49.270,28.498,654.629
2000,4,11,0.000,74.658,44.861,30.028,675.996
